Hours Studied,Note CI,Dakhel fi club,Sleep Hours,ch7al mn CF 9dim halit,Note CF
7,20.0,1,9,1,18.0
4,14.25,0,4,2,12.25
8,3.75,1,7,2,7.75
5,4.0,1,5,2,5.75
7,11.75,0,8,5,12.5
3,13.0,0,9,6,11.25
7,11.25,1,5,6,11.75
8,1.75,1,4,6,7.0
5,12.5,0,8,2,11.25
4,16.5,0,4,0,13.0
8,17.25,0,4,5,16.5
8,13.25,0,6,2,14.0
3,2.25,0,9,2,3.75
6,2.25,0,4,2,5.0
5,13.25,0,7,8,13.0
2,10.75,0,4,3,7.25
8,11.25,1,8,4,12.75
6,14.5,1,7,2,13.25
2,4.75,1,4,9,4.5
5,11.75,0,7,0,11.75
1,20.0,1,4,3,13.5
6,19.0,0,9,0,16.75
9,11.5,1,7,6,14.0
1,15.25,0,5,6,10.5
3,7.0,0,6,3,5.5
7,7.5,1,7,4,8.75
4,13.25,0,8,9,12.5
9,15.0,1,6,6,16.25
3,18.25,1,6,5,14.25
5,17.0,1,4,3,14.25
3,7.0,1,7,3,6.5
7,1.25,1,9,1,5.75
5,10.25,1,6,9,10.75
9,4.0,1,8,1,8.25
7,9.25,1,9,3,11.0
2,19.25,1,9,4,14.25
4,6.5,0,8,3,7.0
9,10.75,0,8,2,13.0
2,5.0,1,4,1,5.0
9,9.5,0,5,3,12.0
5,7.5,0,7,4,7.75
2,7.75,1,6,0,6.5
4,11.25,1,7,0,10.75
7,2.0,0,9,5,5.75
8,12.5,1,6,4,13.5
3,12.25,1,4,3,9.75
1,1.0,1,7,0,1.5
4,11.25,0,4,6,9.75
2,14.0,1,4,3,10.75
8,7.0,0,7,2,9.5
4,1.25,1,7,6,3.75
2,16.5,1,6,1,12.25
6,14.0,0,9,9,14.5
6,7.5,1,9,0,9.25
4,18.0,0,8,3,15.0
6,20.0,0,4,7,18.0
2,4.75,1,9,5,5.0
2,10.25,1,5,8,8.25
4,19.75,0,6,0,15.0
8,2.75,0,6,0,6.25
7,14.25,1,8,4,13.25
9,19.25,1,8,5,19.5
8,17.75,1,4,7,17.0
5,8.25,1,6,2,8.75
2,8.25,1,6,5,7.0
5,16.25,0,5,2,13.5
8,6.75,0,4,7,9.75
9,2.75,0,4,3,7.0
